what are bigos?	["Stew"]	["Polish food"]
what is the islamic belief?	["God in Islam", "Monotheism", "Qiyamah", "Predestination in Islam", "Tawhid", "Masih ad-Dajjal", "Islamic holy books", "Prophets in Islam", "Islamic view of angels"]	["The very act of believing creates strength of its own.", "As a rule we disbelieve all the facts and theories for which we have no use.", "How many things served us but yesterday as articles of faith, which today we deem but fables?", "Bandara was not an easy place to return to:  it could hide from the common worlds whose periphery it inhabited.  But Bandara never had, in all its years, completely disappeared.", "One can't believe impossible things. I dare say you haven't had much practice, said the Queen. When I was your age, I always did it for half-an-hour a day. Why, sometimes I've believed as many as six impossible things before breakfast.", "Sometimes I've believed as many as six possible things before breakfast.", "If you do not believe in yourself... chances are nobody else will.", "If you develop the absolute sense of certainty that powerful beliefs provide, then you can get yourself to accomplish virtually anything, including those things that other people are certain are impossible.", "Honorable battle sustains a Sacred Band.", "A belief is like a guillotine, just as heavy, just as light.", "Believe in yourself! Have faith in your abilities! Without a humble but reasonable confidence in your own powers you cannot be successful or happy.", "The nobility of a human being is strictly independent of that of his convictions.", "The man who believes he can do something is probably right, and so is the man who believes he can t. Anonymous I don't think of myself as a poor deprived ghetto girl who made good. I think of myself as someone who from an early age knew I was responsible for myself, and I had to make good.", "Gods are nothing without their worshipers; they act on the affairs and the passions of men.", "Belief is a wise wager. Granted that faith cannot be proved, what harm will come to you if you gamble on its truth and it proves false? If you gain, you gain all; if you lose, you lose nothing. Wager, then, without hesitation, that He exists.", "What distinguishes the majority of men from the few is their inability to act according to their beliefs.", "The essential element in personal magnetism is a consuming sincerity -- an overwhelming faith in the importance of the work one has to do.", "People are slow to believe that, which if believed would work them harm.", "Belief creates the actual fact.", "If you believe in an unseen Christ, you will believe in the unseen Christlike potential of others.", "Let fools believe what fools believe.", "A wise one determines his own fate.", "It is upon each soul to recognize its limit.", "To believe a thing is impossible is to make it so.", "At eighteen our convictions are hills from which we look; at forty-five they are caves in which we hide.", "Everyone believes very easily whatever they fear or desire.", "With the majority of people unbelief in one thing is founded on the blind belief in another.", "The practical effect of a belief is the real test of its soundness.", "To accomplish great things, we must not only act, but also dream; not only plan, but also believe.", "Men will not believe because they will not broaden their minds.", "The barrier between success is not something which exists in the real world: it is composed purely and simply of doubts about ability.", "If you believe what you like in the gospels, and reject what you don't like, it is not the gospel you believe, but yourself.", "We have only to believe. And the more threatening and irreducible reality appears, the more firmly and desperately we must believe. Then, little by little, we shall see the universal horror unbend, and then smile upon us, and then take us in its more than human arms.", "Of what worth are convictions that bring not suffering?", "You must understand that seeing is believing, but also know that believing is seeing.", "Die never for a god, Nikodemos who should know better -- not your soldiers' god, nor any other.", "The art of writing is the art of discovering what you believe.", "Men are disturbed not by things, but by the view which they take of them.", "Whatever you believe with feeling becomes your reality.", "We are all captives of the picture in our head -- our belief that the world we have experienced is the world that really exists.", "The only thing that stands between a man and what he wants from life is often merely the will to try it and the faith to believe that it is possible.", "And above all things, never think that you're not good enough yourself. A man should never think that. My belief is that in life people will take you at your own reckoning", "You believe easily that which you hope for earnestly.", "The word belief is a difficult thing for me. I don't believe. I must have a reason for a certain hypothesis. Either I know a thing, and then I know it --I don't need to believe it.", "I believe because it is impossible.", "Believe that life is worth living, and your belief will help create the fact.", "The most fearful unbelief is unbelief in your self.", "I'm reverent from a distance.", "Everything is possible for him who believes.", "Human beliefs, like all other natural growths, elude the barrier of systems.", "Drugs are not always necessary, but belief in recovery always is.", "The battle that never ends is the battle of belief against unbelief.", "Even if I knew that tomorrow the world would go to pieces, I would still plant my apple tree.", "All are inclined to believe what they covet, from a lottery-ticket up to a passport to Paradise.", "Belief in a cruel God makes a cruel man.", "Believe it can be done. When you believe something can be done, really believe, your mind will find the ways to do it. Believing a solution paves the way to solution.", "Believe Big. The size of your success is determined by the size of your belief. Think little goals and expect little achievements. Think big goals and win big success. Remember this, too! Big ideas and big plans are often easier -- certainly no more difficult -- than small ideas and small plans.", "Remind yourself regularly that you are better than you think you are. Successful people are not superhuman. Success does not require a super-intellect. Nor is there anything mystical about success. And success doesn't based on luck. Successful people are just ordinary folks who have developed belief in themselves and what they do. Never -- yes, never -- sell yourself short.", "Gods and politics are the tools with which the godless and unprincipled  manipulate the gullible.\"", "The human mind must believe in something, so why not let it believe what it does believe.", "You can do what you think you can do and you cannot do what you think you cannot", "I always knew I was going to be rich. I don't think I ever doubted it for a minute.", "He is dead in this world who has no belief in another.", "The world we see that seems so insane is the result of a belief system that is not working. To perceive the world differently, we must be willing to change our belief system, let the past slip away, expand our sense of now, and dissolve the fear in our minds.", "If you believe you can, you probably can. If you believe you won t, you most assuredly won t. Belief is the ignition switch that gets you off the launching pad.", "If you don't change your beliefs, your life will be like this forever. Is that good news?", "Devout believers are safeguarded in a high degree against the risk of certain neurotic illnesses; their acceptance of the universal neurosis spares them the task of constructing a personal one.", "The will to do springs from the knowledge that we can do.", "Every time a child says, I don't believe in fairies, there is a fairy somewhere that falls down dead.", "Man makes holy what he believes.", "What ever the mind of man can conceive and believe, it can achieve.", "Belief like any other moving body follows the path of least resistance.", "They can because they think they can.", "You'll see it when you believe it.", "You are always a valuable, worthwhile human being -- not because anybody says so, not because you're successful, not because you make a lot of money -- but because you decide to believe it and for no other reason.", "I never cease being dumbfounded by the unbelievable things people believe.", "If we let ourselves believe that man began with divine grace, that he forfeited this by sin, and that he can be redeemed only by divine grace through the crucified Christ, then we shall find peace of mind never granted to philosophers. He who cannot believe is cursed, for he reveals by his unbelief that God has not chosen to give him grace.", "Your level of belief in yourself will inevitably manifest itself in whatever you do.", "Believe that you possess a basic goodness, which is the foundation for the greatness you can ultimately achieve.", "First we have to believe, and then we believe.", "With most people disbelief in a thing is founded on a blind belief in some other thing.", "Conviction never so excellent, is worthless until it coverts itself into conduct.", "We are slow to believe that which if believed would hurt our feelings.", "Loving is half of believing.", "He can who thinks he can, and he can't who thinks he can't. This is an inexorable, indisputable law.", "Beware of assumptions! Whatever you assume to be possible -- or impossible will have a tendency to become real for you.", "All beliefs are bald ideas.", "Men freely believe that which they desire.", "One person with a belief is equal to a force of ninety-nine who have only interests.", "Men willingly believe what they wish.", "What we wish, we readily believe, and what we ourselves think, we imagine others think also.", "Many a time I have wanted to stop talking and find out what I really believed.", "He that will believe only what he can fully comprehend must have a long head or a very short creed.", "If you don't have solid beliefs you cannot build a stable life. Beliefs are like the foundation of a building, and they are the foundation to build your life upon.", "Nothing is so firmly believed as that which we least know.", "Strong beliefs win strong men, and then make them stronger.", "Belief gets in the way of learning.", "Believe nothing merely because you have been told it. Do not believe what your teacher tells you merely out of respect for the teacher. But whatsoever, after due examination and analysis, you find to be kind, conducive to the good, the benefit, the welfare of all beings -- that doctrine believe and cling to, and take it as your guide.", "Belief consists in accepting the affirmations of the soul; unbelief, in denying them.", "That which has been believed by everyone, always and everywhere, has every chance of being false.", "Men are most apt to believe what they least understand.", "The lack of belief is a defect that ought to be concealed when it cannot be overcome.", "We have all had the experience of finding that our reactions and perhaps even our deeds have denied beliefs we thought were ours.", "We are so constituted that we believe the most incredible things; and, once they are engraved upon the memory, woe to him who would endeavor to erase them.", "Our systems, perhaps, are nothing more than an unconscious apology for our faults --a gigantic scaffolding whose object is to hide from us our favorite sin.", "It isn't enough to talk about peace. One must believe in it. And it isn't enough to believe in it. One must work at it.", "He does not believe that does not live according to his belief .", "In order to succeed, we must first believe that we can.", "Oh how sweet it is to hear one's own convictions from another's lips.", "What we need is not the will to believe, but the wish to find out.", "First thing every morning before you arise say out loud, I believe, three times.", "Sooner or later, those who win are those who think they can.", "If you must tell me your opinions, tell me what you believe in. I have plenty of doubts of my own.", "Every person is the creation of himself, the image of his own thinking and believing. As individuals think and believe, so they are.", "No iron chain, or outward force of any kind, can ever compel the soul of a person to believe or to disbelieve.", "It is so hard to believe because it is so hard to obey.", "It is a sin to believe evil of others, but it is seldom a mistake.", "We are born believing. A man bears beliefs as a tree bears apples.", "The abdication of belief makes the behavior small -- better an ignis fatuus than no illume at all.", "It is always easier to believe than to deny. Our minds are naturally affirmative.", "All personal breakthroughs being with a change in beliefs. So how do we change? The most effective way is to get your brain to associate massive pain to the old belief. You must feel deep in your gut that not only has this belief cost you pain in the past, but it's costing you in the present and, ultimately, can only bring you pain in the future. Then you must associate tremendous pleasure to the idea of adopting a new, empowering belief.", "All the great ages have been ages of belief.", "When the intensity of emotional conviction subsides, a man who is in the habit of reasoning will search for logical grounds in favor of the belief which he finds in himself.", "Every man who attacks my belief, diminishes in some degree my confidence in it, and therefore makes me uneasy; and I am angry with him who makes me uneasy.", "What we can or cannot do, what we consider possible or impossible, is rarely a function of our true capability. It is more likely a function of our beliefs about who we are.", "If you think you are beaten, you are. If you think you dare not, you don't. If you'd like to win, but think you can't It's almost a cinch you won t. Life's battles don't always go To the stronger or faster man; But soon or late the man who wins is the one who thinks he can.", "Beliefs have the power to create and the power to destroy. Human beings have the awesome ability to take any experience of their lives and create a meaning that disempowers them or one that can literally save their lives.", "I knew my trainer believed in me and I couldn't let Him down.", "Confronted with the impossibility of remaining faithful to one's beliefs, and the equal impossibility of becoming free of them, one can be driven to the most inhuman excesses.", "The old believe everything; the middle aged suspect everything, and the young know everything."]
where did alex chilton die?	["New Orleans"]	["New Orleans"]
what company does nike own?	["Converse", "Hurley International"]	["Manufacturing", "Sports equipment", "Clothing", "Footwear Manufacturing", "Athletic Shoes & Apparel"]
who is judy garland father?	["Francis Avent Gumm"]	["Ethel Marion Milne", "Francis Avent Gumm"]
who did ben franklin marry?	["Deborah Read"]	["Deborah Read"]
where michael jackson from?	["Gary"]	["Gary"]
when was lucy lawless born?	["New Zealand"]	["Mount Albert, New Zealand"]
who did kurt warner play 4?	["St. Louis Rams", "New York Giants", "Iowa Barnstormers", "Arizona Cardinals", "Northern Iowa Panthers football", "Amsterdam Admirals"]	["St. Louis Rams", "New York Giants", "Arizona Cardinals", "Northern Iowa Panthers football", "Amsterdam Admirals", "Iowa Barnstormers"]
where is dwight howard now?	["Los Angeles Lakers"]	["Atlanta"]
what country is dyson made?	["United Kingdom"]	["Disturbing the universe"]
who did kim richards marry?	["Greg Davis", "John Jackson", "G. Monty Brinson"]	["G. Monty Brinson", "Gregg Davis", "John Jackson"]
who did darth vaders voice?	["James Earl Jones"]	["James Earl Jones", "Jake Lloyd", "David Prowse", "Sebastian Shaw", "Hayden Christensen", "Matt Lanter", "Robert E. Bean"]
what do people speak in uk?	["Scottish Gaelic language", "Scots Language", "British Sign Language", "Cornish Language", "Esperanto Language", "English Language", "Welsh Language", "Irish"]	["English Language", "Scots Language", "Irish", "Scottish Gaelic language", "Welsh Language", "Cornish Language", "Esperanto Language", "British Sign Language"]
where bin laden got killed?	["Abbottabad"]	["Abbottabad"]
what happened at chernobyl?	["Nuclear accident", "Industrial disaster"]	["Industrial disaster", "Nuclear accident"]
where all did picasso live?	["M\u00e1laga", "France"]	["M\u00e1laga"]
what is lawton ok zip code?	["73502", "73501", "73506", "73507", "73505"]	["73501", "73505", "73507", "73506", "73502"]
who influenced picasso art?	["\u00c9douard Manet", "Paul C\u00e9zanne", "Henri Rousseau", "Paul Gauguin", "Sara Murphy", "Diego Vel\u00e1zquez", "Jean Auguste Dominique Ingres", "Eug\u00e8ne Delacroix", "Alfred Jarry", "Francisco Goya"]	[]
